Date,prediction
18875.0,51619.81
18876.0,52602.8
18877.0,46600.4
18878.0,45568.805
18879.0,46370.05
18880.0,45023.867
18881.0,45212.113
18882.0,46029.934
18883.0,44931.69
18884.0,46916.38
18885.0,48263.83
18886.0,47800.43
18887.0,47254.938
18888.0,48263.25
18889.0,47320.777
18890.0,42973.37
18891.0,40517.49
18892.0,43365.105
18893.0,44954.5
18894.0,42733.87
18895.0,42443.406
18896.0,42984.2
18897.0,42515.633
18898.0,41104.008
18899.0,41613.008
18900.0,43765.195
18901.0,48072.2
18902.0,47999.86
18903.0,48218.473
18904.0,48968.402
18905.0,51535.06
18906.0,55214.395
18907.0,54077.61
18908.0,54195.715
18909.0,54964.707
18910.0,55018.703
18911.0,57365.734
18912.0,56049.06
18913.0,57002.26
18914.0,57539.293
18915.0,61556.543
18916.0,61208.13
18917.0,61184.01
18918.0,61880.91
18919.0,64158.188
18920.0,66124.625
18921.0,62608.598
18922.0,60695.89
18923.0,61166.78
18924.0,60782.38
18925.0,62999.035
18926.0,60603.906
18927.0,58544.668
18928.0,60636.89
18929.0,62376.25
18930.0,61851.516
18931.0,61188.363
18932.0,60952.223
18933.0,63234.133
18934.0,62867.875
18935.0,61411.69
18936.0,61187.902
18937.0,61313.55
18938.0,63261.434
18939.0,67531.42
18940.0,67343.87
18941.0,65075.656
18942.0,64781.938
18943.0,63949.61
18944.0,64332.32
18945.0,65295.11
18946.0,63870.242
18947.0,60051.72
18948.0,59908.273
18949.0,57166.242
18950.0,57658.316
18951.0,59621.97
18952.0,58916.56
18953.0,56331.914
18954.0,57293.47
18955.0,56409.047
18956.0,57803.77
18957.0,54350.258
18958.0,54535.598
18959.0,57026.64
18960.0,58061.367
18961.0,57154.1
18962.0,57403.332
18963.0,56446.582
18964.0,53692.324
18965.0,48208.234
18966.0,48895.273
18967.0,50246.297
18968.0,50924.492
18969.0,50295.516
18970.0,47795.06
18971.0,47471.586
18972.0,49214.082
18973.0,50205.582
18974.0,46831.633
18975.0,46669.117
18976.0,49153.035
18977.0,47832.176
18978.0,46150.12
18979.0,46704.27
18980.0,46946.184
18981.0,46757.72
18982.0,48897.734
18983.0,48854.918
18984.0,50676.58
18985.0,51096.215
18986.0,50479.375
18987.0,50689.426
18988.0,50854.855
18989.0,47712.844
18990.0,46354.348
18991.0,47134.703
18992.0,46547.297
18993.0,47591.89
18994.0,47396.55
18995.0,46397.16
18996.0,46013.477
18997.0,43707.684
18998.0,42964.67
18999.0,41523.156
19000.0,41554.51
19001.0,41982.137
19002.0,41533.414
19003.0,42665.57
19004.0,43955.62
19005.0,42772.492
19006.0,42924.9
19007.0,43228.66
19008.0,43089.54
19009.0,42199.16
19010.0,42187.125
19011.0,41711.152
19012.0,41000.727
19013.0,36563.29
19014.0,34747.383
19015.0,36117.754
19016.0,36290.79
19017.0,36902.79
19018.0,37140.633
19019.0,36903.727
19020.0,37643.113
19021.0,38178.67
19022.0,37890.008
19023.0,38265.91
19024.0,38770.31
19025.0,37055.92
