Date,prediction
18875.0,51844.004
18876.0,52866.52
18877.0,47655.758
18878.0,45595.887
18879.0,46577.67
18880.0,45439.92
18881.0,45348.473
18882.0,46234.586
18883.0,45325.76
18884.0,47097.34
18885.0,48564.152
18886.0,48055.35
18887.0,47453.67
18888.0,48462.055
18889.0,47598.395
18890.0,43588.83
18891.0,40800.777
18892.0,43564.316
18893.0,45273.9
18894.0,43242.2
18895.0,42492.094
18896.0,43262.598
18897.0,42900.664
18898.0,41363.566
18899.0,41811.42
18900.0,44047.023
18901.0,48591.043
18902.0,48370.348
18903.0,48467.305
18904.0,49227.285
18905.0,51857.773
18906.0,55725.87
18907.0,54559.773
18908.0,54514.312
18909.0,55194.793
18910.0,55416.285
18911.0,57671.176
18912.0,56543.887
18913.0,57217.21
18914.0,57881.707
18915.0,62106.754
18916.0,61729.49
18917.0,61371.867
18918.0,62191.17
18919.0,64461.105
18920.0,66608.016
18921.0,63374.855
18922.0,61053.98
18923.0,61319.35
18924.0,61041.793
18925.0,63319.375
18926.0,61193.58
18927.0,58924.055
18928.0,61010.453
18929.0,62792.63
18930.0,62124.65
18931.0,61470.746
18932.0,61281.95
18933.0,63620.56
18934.0,63226.035
18935.0,61741.332
18936.0,61428.184
18937.0,61467.758
18938.0,63496.176
18939.0,67997.95
18940.0,67897.51
18941.0,65753.4
18942.0,64913.375
18943.0,64304.535
18944.0,64519.55
18945.0,65511.418
18946.0,64387.84
18947.0,60563.723
18948.0,59980.426
18949.0,57815.684
18950.0,57743.516
18951.0,59922.75
18952.0,59260.34
18953.0,56795.477
18954.0,57418.746
18955.0,56773.9
18956.0,58161.633
18957.0,55192.715
18958.0,54509.348
18959.0,57391.99
18960.0,58481.867
18961.0,57607.613
18962.0,57758.074
18963.0,56690.414
18964.0,54312.223
18965.0,49028.992
18966.0,48881.215
18967.0,50548.246
18968.0,51270.06
18969.0,50550.06
18970.0,48288.984
18971.0,47829.05
18972.0,49430.3
18973.0,50551.82
18974.0,47430.504
18975.0,46858.395
18976.0,49434.348
18977.0,48177.727
